security_type,exchange,code,symbol,name,category,currency,delivery_month,delivery_date,strike_price,option_right,underlying_kind,underlying_code,unit,multiplier,limit_up,limit_down,reference,update_date,margin_trading_balance,short_selling_balance,day_trade,target_code
OPT,TAIFEX,CAO00390U5,CAO2025093900P,南亞選擇權09月39.0P,CAO,TWD,202509,2025/09/17,39.0,P,S,1303,1,0,5.85,0.01,2.15,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00460X5,CAO2025124600P,南亞選擇權12月46.0P,CAO,TWD,202512,2025/12/17,46.0,P,S,1303,1,0,14.1,6.7,10.4,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00490V5,CAO2025104900P,南亞選擇權10月49.0P,CAO,TWD,202510,2025/10/15,49.0,P,S,1303,1,0,15.4,8.05,11.75,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00360L5,CAO2025123600C,南亞選擇權12月36.0C,CAO,TWD,202512,2025/12/17,36.0,C,S,1303,1,0,9.1,1.7,5.4,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00380X5,CAO2025123800P,南亞選擇權12月38.0P,CAO,TWD,202512,2025/12/17,38.0,P,S,1303,1,0,8.6,1.21,4.91,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00490J5,CAO2025104900C,南亞選擇權10月49.0C,CAO,TWD,202510,2025/10/15,49.0,C,S,1303,1,0,3.92,0.01,0.22,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00470V5,CAO2025104700P,南亞選擇權10月47.0P,CAO,TWD,202510,2025/10/15,47.0,P,S,1303,1,0,13.6,6.2,9.9,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00525V5,CAO2025105250P,南亞選擇權10月52.5P,CAO,TWD,202510,2025/10/15,52.5,P,S,1303,1,0,18.8,11.4,15.1,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00440V5,CAO2025104400P,南亞選擇權10月44.0P,CAO,TWD,202510,2025/10/15,44.0,P,S,1303,1,0,10.95,3.55,7.25,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00480I5,CAO2025094800C,南亞選擇權09月48.0C,CAO,TWD,202509,2025/09/17,48.0,C,S,1303,1,0,3.71,0.01,0.01,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00500J5,CAO2025105000C,南亞選擇權10月50.0C,CAO,TWD,202510,2025/10/15,50.0,C,S,1303,1,0,3.87,0.01,0.17,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00420V5,CAO2025104200P,南亞選擇權10月42.0P,CAO,TWD,202510,2025/10/15,42.0,P,S,1303,1,0,9.35,1.95,5.65,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00460U5,CAO2025094600P,南亞選擇權09月46.0P,CAO,TWD,202509,2025/09/17,46.0,P,S,1303,1,0,12.3,4.9,8.6,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00240I5,CAO2025092400C,南亞選擇權09月24.0C,CAO,TWD,202509,2025/09/17,24.0,C,S,1303,1,0,17.1,9.7,13.4,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00420L5,CAO2025124200C,南亞選擇權12月42.0C,CAO,TWD,202512,2025/12/17,42.0,C,S,1303,1,0,6.7,0.01,3.04,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00250I5,CAO2025092500C,南亞選擇權09月25.0C,CAO,TWD,202509,2025/09/17,25.0,C,S,1303,1,0,16.1,8.7,12.4,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00300I5,CAO2025093000C,南亞選擇權09月30.0C,CAO,TWD,202509,2025/09/17,30.0,C,S,1303,1,0,11.1,3.7,7.4,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00380L5,CAO2025123800C,南亞選擇權12月38.0C,CAO,TWD,202512,2025/12/17,38.0,C,S,1303,1,0,8.15,0.79,4.49,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00360I5,CAO2025093600C,南亞選擇權09月36.0C,CAO,TWD,202509,2025/09/17,36.0,C,S,1303,1,0,5.65,0.01,1.98,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00480U5,CAO2025094800P,南亞選擇權09月48.0P,CAO,TWD,202509,2025/09/17,48.0,P,S,1303,1,0,14.3,6.9,10.6,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00370V5,CAO2025103700P,南亞選擇權10月37.0P,CAO,TWD,202510,2025/10/15,37.0,P,S,1303,1,0,6.1,0.01,2.42,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00320U5,CAO2025093200P,南亞選擇權09月32.0P,CAO,TWD,202509,2025/09/17,32.0,P,S,1303,1,0,3.72,0.01,0.02,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00240X5,CAO2025122400P,南亞選擇權12月24.0P,CAO,TWD,202512,2025/12/17,24.0,P,S,1303,1,0,4.02,0.01,0.32,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00250U5,CAO2025092500P,南亞選擇權09月25.0P,CAO,TWD,202509,2025/09/17,25.0,P,S,1303,1,0,3.71,0.01,0.01,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00340J5,CAO2025103400C,南亞選擇權10月34.0C,CAO,TWD,202510,2025/10/15,34.0,C,S,1303,1,0,8.3,0.92,4.62,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00280I5,CAO2025092800C,南亞選擇權09月28.0C,CAO,TWD,202509,2025/09/17,28.0,C,S,1303,1,0,13.1,5.7,9.4,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00525J5,CAO2025105250C,南亞選擇權10月52.5C,CAO,TWD,202510,2025/10/15,52.5,C,S,1303,1,0,3.79,0.01,0.09,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00460V5,CAO2025104600P,南亞選擇權10月46.0P,CAO,TWD,202510,2025/10/15,46.0,P,S,1303,1,0,12.7,5.3,9.0,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00245I5,CAO2025092450C,南亞選擇權09月24.5C,CAO,TWD,202509,2025/09/17,24.5,C,S,1303,1,0,16.6,9.2,12.9,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00245U5,CAO2025092450P,南亞選擇權09月24.5P,CAO,TWD,202509,2025/09/17,24.5,P,S,1303,1,0,3.71,0.01,0.01,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00360V5,CAO2025103600P,南亞選擇權10月36.0P,CAO,TWD,202510,2025/10/15,36.0,P,S,1303,1,0,5.65,0.01,1.95,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00340V5,CAO2025103400P,南亞選擇權10月34.0P,CAO,TWD,202510,2025/10/15,34.0,P,S,1303,1,0,4.88,0.01,1.18,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00550L5,CAO2025125500C,南亞選擇權12月55.0C,CAO,TWD,202512,2025/12/17,55.0,C,S,1303,1,0,4.47,0.01,0.77,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00525U5,CAO2025095250P,南亞選擇權09月52.5P,CAO,TWD,202509,2025/09/17,52.5,P,S,1303,1,0,18.8,11.4,15.1,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00500I5,CAO2025095000C,南亞選擇權09月50.0C,CAO,TWD,202509,2025/09/17,50.0,C,S,1303,1,0,3.71,0.01,0.01,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00350U5,CAO2025093500P,南亞選擇權09月35.0P,CAO,TWD,202509,2025/09/17,35.0,P,S,1303,1,0,4.01,0.01,0.31,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00420I5,CAO2025094200C,南亞選擇權09月42.0C,CAO,TWD,202509,2025/09/17,42.0,C,S,1303,1,0,3.79,0.01,0.09,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00450V5,CAO2025104500P,南亞選擇權10月45.0P,CAO,TWD,202510,2025/10/15,45.0,P,S,1303,1,0,11.8,4.4,8.1,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00550I5,CAO2025095500C,南亞選擇權09月55.0C,CAO,TWD,202509,2025/09/17,55.0,C,S,1303,1,0,3.71,0.01,0.01,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00470U5,CAO2025094700P,南亞選擇權09月47.0P,CAO,TWD,202509,2025/09/17,47.0,P,S,1303,1,0,13.3,5.9,9.6,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00330U5,CAO2025093300P,南亞選擇權09月33.0P,CAO,TWD,202509,2025/09/17,33.0,P,S,1303,1,0,3.76,0.01,0.06,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00430V5,CAO2025104300P,南亞選擇權10月43.0P,CAO,TWD,202510,2025/10/15,43.0,P,S,1303,1,0,10.15,2.75,6.45,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00330V5,CAO2025103300P,南亞選擇權10月33.0P,CAO,TWD,202510,2025/10/15,33.0,P,S,1303,1,0,4.58,0.01,0.88,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00480V5,CAO2025104800P,南亞選擇權10月48.0P,CAO,TWD,202510,2025/10/15,48.0,P,S,1303,1,0,14.5,7.1,10.8,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00470J5,CAO2025104700C,南亞選擇權10月47.0C,CAO,TWD,202510,2025/10/15,47.0,C,S,1303,1,0,4.06,0.01,0.36,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00240L5,CAO2025122400C,南亞選擇權12月24.0C,CAO,TWD,202512,2025/12/17,24.0,C,S,1303,1,0,17.5,10.15,13.85,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00500V5,CAO2025105000P,南亞選擇權10月50.0P,CAO,TWD,202510,2025/10/15,50.0,P,S,1303,1,0,16.4,9.0,12.7,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00410V5,CAO2025104100P,南亞選擇權10月41.0P,CAO,TWD,202510,2025/10/15,41.0,P,S,1303,1,0,8.6,1.21,4.91,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00330J5,CAO2025103300C,南亞選擇權10月33.0C,CAO,TWD,202510,2025/10/15,33.0,C,S,1303,1,0,9.05,1.65,5.35,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00280L5,CAO2025122800C,南亞選擇權12月28.0C,CAO,TWD,202512,2025/12/17,28.0,C,S,1303,1,0,14.2,6.8,10.5,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00350V5,CAO2025103500P,南亞選擇權10月35.0P,CAO,TWD,202510,2025/10/15,35.0,P,S,1303,1,0,5.2,0.01,1.53,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00400X5,CAO2025124000P,南亞選擇權12月40.0P,CAO,TWD,202512,2025/12/17,40.0,P,S,1303,1,0,9.8,2.4,6.1,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00310V5,CAO2025103100P,南亞選擇權10月31.0P,CAO,TWD,202510,2025/10/15,31.0,P,S,1303,1,0,4.15,0.01,0.45,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00350I5,CAO2025093500C,南亞選擇權09月35.0C,CAO,TWD,202509,2025/09/17,35.0,C,S,1303,1,0,6.4,0.01,2.72,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00410I5,CAO2025094100C,南亞選擇權09月41.0C,CAO,TWD,202509,2025/09/17,41.0,C,S,1303,1,0,3.88,0.01,0.18,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00380V5,CAO2025103800P,南亞選擇權10月38.0P,CAO,TWD,202510,2025/10/15,38.0,P,S,1303,1,0,6.65,0.01,2.96,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00390J5,CAO2025103900C,南亞選擇權10月39.0C,CAO,TWD,202510,2025/10/15,39.0,C,S,1303,1,0,5.7,0.01,2.01,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00320L5,CAO2025123200C,南亞選擇權12月32.0C,CAO,TWD,202512,2025/12/17,32.0,C,S,1303,1,0,11.35,3.95,7.65,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00420U5,CAO2025094200P,南亞選擇權09月42.0P,CAO,TWD,202509,2025/09/17,42.0,P,S,1303,1,0,8.35,0.98,4.68,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00300U5,CAO2025093000P,南亞選擇權09月30.0P,CAO,TWD,202509,2025/09/17,30.0,P,S,1303,1,0,3.71,0.01,0.01,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00310J5,CAO2025103100C,南亞選擇權10月31.0C,CAO,TWD,202510,2025/10/15,31.0,C,S,1303,1,0,10.55,3.15,6.85,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00340L5,CAO2025123400C,南亞選擇權12月34.0C,CAO,TWD,202512,2025/12/17,34.0,C,S,1303,1,0,10.15,2.75,6.45,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00380J5,CAO2025103800C,南亞選擇權10月38.0C,CAO,TWD,202510,2025/10/15,38.0,C,S,1303,1,0,6.1,0.01,2.42,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00290U5,CAO2025092900P,南亞選擇權09月29.0P,CAO,TWD,202509,2025/09/17,29.0,P,S,1303,1,0,3.71,0.01,0.01,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00270I5,CAO2025092700C,南亞選擇權09月27.0C,CAO,TWD,202509,2025/09/17,27.0,C,S,1303,1,0,14.1,6.7,10.4,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00440J5,CAO2025104400C,南亞選擇權10月44.0C,CAO,TWD,202510,2025/10/15,44.0,C,S,1303,1,0,4.42,0.01,0.72,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00500L5,CAO2025125000C,南亞選擇權12月50.0C,CAO,TWD,202512,2025/12/17,50.0,C,S,1303,1,0,5.0,0.01,1.33,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00340I5,CAO2025093400C,南亞選擇權09月34.0C,CAO,TWD,202509,2025/09/17,34.0,C,S,1303,1,0,7.25,0.01,3.56,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00470I5,CAO2025094700C,南亞選擇權09月47.0C,CAO,TWD,202509,2025/09/17,47.0,C,S,1303,1,0,3.71,0.01,0.01,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00460I5,CAO2025094600C,南亞選擇權09月46.0C,CAO,TWD,202509,2025/09/17,46.0,C,S,1303,1,0,3.71,0.01,0.01,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00310I5,CAO2025093100C,南亞選擇權09月31.0C,CAO,TWD,202509,2025/09/17,31.0,C,S,1303,1,0,10.1,2.7,6.4,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00420X5,CAO2025124200P,南亞選擇權12月42.0P,CAO,TWD,202512,2025/12/17,42.0,P,S,1303,1,0,11.15,3.75,7.45,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00400V5,CAO2025104000P,南亞選擇權10月40.0P,CAO,TWD,202510,2025/10/15,40.0,P,S,1303,1,0,7.9,0.51,4.21,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00360J5,CAO2025103600C,南亞選擇權10月36.0C,CAO,TWD,202510,2025/10/15,36.0,C,S,1303,1,0,7.1,0.01,3.4,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00440X5,CAO2025124400P,南亞選擇權12月44.0P,CAO,TWD,202512,2025/12/17,44.0,P,S,1303,1,0,12.6,5.2,8.9,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00320J5,CAO2025103200C,南亞選擇權10月32.0C,CAO,TWD,202510,2025/10/15,32.0,C,S,1303,1,0,9.8,2.4,6.1,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00490I5,CAO2025094900C,南亞選擇權09月49.0C,CAO,TWD,202509,2025/09/17,49.0,C,S,1303,1,0,3.71,0.01,0.01,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00250X5,CAO2025122500P,南亞選擇權12月25.0P,CAO,TWD,202512,2025/12/17,25.0,P,S,1303,1,0,4.13,0.01,0.43,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00280U5,CAO2025092800P,南亞選擇權09月28.0P,CAO,TWD,202509,2025/09/17,28.0,P,S,1303,1,0,3.71,0.01,0.01,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00460L5,CAO2025124600C,南亞選擇權12月46.0C,CAO,TWD,202512,2025/12/17,46.0,C,S,1303,1,0,5.7,0.01,2.03,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00370I5,CAO2025093700C,南亞選擇權09月37.0C,CAO,TWD,202509,2025/09/17,37.0,C,S,1303,1,0,5.05,0.01,1.37,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00380I5,CAO2025093800C,南亞選擇權09月38.0C,CAO,TWD,202509,2025/09/17,38.0,C,S,1303,1,0,4.6,0.01,0.9,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00260X5,CAO2025122600P,南亞選擇權12月26.0P,CAO,TWD,202512,2025/12/17,26.0,P,S,1303,1,0,4.28,0.01,0.58,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00430I5,CAO2025094300C,南亞選擇權09月43.0C,CAO,TWD,202509,2025/09/17,43.0,C,S,1303,1,0,3.75,0.01,0.05,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00350J5,CAO2025103500C,南亞選擇權10月35.0C,CAO,TWD,202510,2025/10/15,35.0,C,S,1303,1,0,7.65,0.28,3.98,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00400I5,CAO2025094000C,南亞選擇權09月40.0C,CAO,TWD,202509,2025/09/17,40.0,C,S,1303,1,0,4.03,0.01,0.33,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00490U5,CAO2025094900P,南亞選擇權09月49.0P,CAO,TWD,202509,2025/09/17,49.0,P,S,1303,1,0,15.3,7.9,11.6,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00440U5,CAO2025094400P,南亞選擇權09月44.0P,CAO,TWD,202509,2025/09/17,44.0,P,S,1303,1,0,10.3,2.9,6.6,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00480J5,CAO2025104800C,南亞選擇權10月48.0C,CAO,TWD,202510,2025/10/15,48.0,C,S,1303,1,0,3.98,0.01,0.28,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00360U5,CAO2025093600P,南亞選擇權09月36.0P,CAO,TWD,202509,2025/09/17,36.0,P,S,1303,1,0,4.27,0.01,0.57,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00480X5,CAO2025124800P,南亞選擇權12月48.0P,CAO,TWD,202512,2025/12/17,48.0,P,S,1303,1,0,15.7,8.3,12.0,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00260U5,CAO2025092600P,南亞選擇權09月26.0P,CAO,TWD,202509,2025/09/17,26.0,P,S,1303,1,0,3.71,0.01,0.01,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00430U5,CAO2025094300P,南亞選擇權09月43.0P,CAO,TWD,202509,2025/09/17,43.0,P,S,1303,1,0,9.35,1.95,5.65,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00480L5,CAO2025124800C,南亞選擇權12月48.0C,CAO,TWD,202512,2025/12/17,48.0,C,S,1303,1,0,5.3,0.01,1.64,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00310U5,CAO2025093100P,南亞選擇權09月31.0P,CAO,TWD,202509,2025/09/17,31.0,P,S,1303,1,0,3.71,0.01,0.01,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00410J5,CAO2025104100C,南亞選擇權10月41.0C,CAO,TWD,202510,2025/10/15,41.0,C,S,1303,1,0,5.05,0.01,1.36,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00320V5,CAO2025103200P,南亞選擇權10月32.0P,CAO,TWD,202510,2025/10/15,32.0,P,S,1303,1,0,4.34,0.01,0.64,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00450U5,CAO2025094500P,南亞選擇權09月45.0P,CAO,TWD,202509,2025/09/17,45.0,P,S,1303,1,0,11.3,3.9,7.6,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00280X5,CAO2025122800P,南亞選擇權12月28.0P,CAO,TWD,202512,2025/12/17,28.0,P,S,1303,1,0,4.64,0.01,0.94,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00500X5,CAO2025125000P,南亞選擇權12月50.0P,CAO,TWD,202512,2025/12/17,50.0,P,S,1303,1,0,17.4,10.0,13.7,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00410U5,CAO2025094100P,南亞選擇權09月41.0P,CAO,TWD,202509,2025/09/17,41.0,P,S,1303,1,0,7.45,0.07,3.77,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00400J5,CAO2025104000C,南亞選擇權10月40.0C,CAO,TWD,202510,2025/10/15,40.0,C,S,1303,1,0,5.35,0.01,1.66,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00400L5,CAO2025124000C,南亞選擇權12月40.0C,CAO,TWD,202512,2025/12/17,40.0,C,S,1303,1,0,7.4,0.01,3.71,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00440I5,CAO2025094400C,南亞選擇權09月44.0C,CAO,TWD,202509,2025/09/17,44.0,C,S,1303,1,0,3.72,0.01,0.02,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00360X5,CAO2025123600P,南亞選擇權12月36.0P,CAO,TWD,202512,2025/12/17,36.0,P,S,1303,1,0,7.5,0.13,3.83,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00320I5,CAO2025093200C,南亞選擇權09月32.0C,CAO,TWD,202509,2025/09/17,32.0,C,S,1303,1,0,9.15,1.75,5.45,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00420J5,CAO2025104200C,南亞選擇權10月42.0C,CAO,TWD,202510,2025/10/15,42.0,C,S,1303,1,0,4.81,0.01,1.11,2025/09/12,0,0,No,
OPT,TAIFEX,CBA00190I5,CBA2025091900C,中鋼選擇權09月19.0C,CBA,TWD,202509,2025/09/17,19.0,C,S,2002,1,0,2.42,0.01,0.52,2025/09/12,0,0,No,
OPT,TAIFEX,CBO00200L5,CBO2025122000C,中鋼選擇權12月20.0C,CBO,TWD,202512,2025/12/17,20.0,C,S,2002,1,0,2.32,0.01,0.42,2025/09/12,0,0,No,
